Subject,Experiment,Pilot,Type,Condition,,Chunk.Time,Response.Time,Response,Total.Time
kp1987,2,1,filler,3,6,1330,2403,Somewhat incomplete,8896
,,,,,,,,,
kp1987,2,1,filler,1,0,1322,4526,Somewhat incomplete,8786
,,,,,,,,,
kp1987,2,1,filler,1,1,1154,4526,Somewhat incomplete,8786
,,,,,,,,,
kp1987,2,1,filler,1,2,1206,4526,Somewhat incomplete,8786
,,,,,,,,,
kp1987,2,1,filler,1,3,1212,4526,Somewhat incomplete,8786
,,,,,,,,,
kp1987,2,1,filler,1,4,1277,4526,Somewhat incomplete,8786
,,,,,,,,,
kp1987,2,1,filler,1,5,1330,4526,Somewhat incomplete,8786
,,,,,,,,,
kp1987,2,1,filler,1,6,1285,4526,Somewhat incomplete,8786
,,,,,,,,,
kp1987,2,1,experimental_trial,C,0,1085,2099,Somewhat complete,7531
,,,,,,,,,
kp1987,2,1,experimental_trial,C,1,1024,2099,Somewhat complete,7531
,,,,,,,,,
kp1987,2,1,experimental_trial,C,2,1040,2099,Somewhat complete,7531
,,,,,,,,,
kp1987,2,1,experimental_trial,C,3,1032,2099,Somewhat complete,7531
,,,,,,,,,
kp1987,2,1,experimental_trial,C,4,1060,2099,Somewhat complete,7531
,,,,,,,,,
kp1987,2,1,experimental_trial,C,5,1166,2099,Somewhat complete,7531
,,,,,,,,,
kp1987,2,1,experimental_trial,C,6,1124,2099,Somewhat complete,7531
,,,,,,,,,
kp1987,2,1,experimental_trial,C,0,1003,1897,Somewhat complete,6601
,,,,,,,,,
kp1987,2,1,experimental_trial,C,1,890,1897,Somewhat complete,6601
,,,,,,,,,
kp1987,2,1,experimental_trial,C,2,897,1897,Somewhat complete,6601
,,,,,,,,,
kp1987,2,1,experimental_trial,C,3,964,1897,Somewhat complete,6601
,,,,,,,,,
kp1987,2,1,experimental_trial,C,4,958,1897,Somewhat complete,6601
,,,,,,,,,
kp1987,2,1,experimental_trial,C,5,922,1897,Somewhat complete,6601
,,,,,,,,,
kp1987,2,1,experimental_trial,C,6,967,1897,Somewhat complete,6601
,,,,,,,,,
kp1987,2,1,filler,2,0,801,2334,Somewhat incomplete,5905
,,,,,,,,,
kp1987,2,1,filler,2,1,813,2334,Somewhat incomplete,5905
,,,,,,,,,
kp1987,2,1,filler,2,2,861,2334,Somewhat incomplete,5905
,,,,,,,,,
kp1987,2,1,filler,2,3,860,2334,Somewhat incomplete,5905
,,,,,,,,,
kp1987,2,1,filler,2,4,849,2334,Somewhat incomplete,5905
,,,,,,,,,
kp1987,2,1,filler,2,5,877,2334,Somewhat incomplete,5905
,,,,,,,,,
kp1987,2,1,filler,2,6,844,2334,Somewhat incomplete,5905
,,,,,,,,,
kp1987,2,1,experimental_trial,A,0,1014,2059,Somewhat incomplete,6904
,,,,,,,,,
kp1987,2,1,experimental_trial,A,1,983,2059,Somewhat incomplete,6904
,,,,,,,,,
kp1987,2,1,experimental_trial,A,2,901,2059,Somewhat incomplete,6904
,,,,,,,,,
kp1987,2,1,experimental_trial,A,3,858,2059,Somewhat incomplete,6904
,,,,,,,,,
kp1987,2,1,experimental_trial,A,4,1017,2059,Somewhat incomplete,6904
,,,,,,,,,
kp1987,2,1,experimental_trial,A,5,1063,2059,Somewhat incomplete,6904
,,,,,,,,,
kp1987,2,1,experimental_trial,A,6,1068,2059,Somewhat incomplete,6904
,,,,,,,,,
kp1987,2,1,experimental_trial,B,0,942,5634,Somewhat incomplete,6506
,,,,,,,,,
kp1987,2,1,experimental_trial,B,1,935,5634,Somewhat incomplete,6506
,,,,,,,,,
kp1987,2,1,experimental_trial,B,2,937,5634,Somewhat incomplete,6506
,,,,,,,,,
kp1987,2,1,experimental_trial,B,3,842,5634,Somewhat incomplete,6506
,,,,,,,,,
kp1987,2,1,experimental_trial,B,4,866,5634,Somewhat incomplete,6506
,,,,,,,,,
kp1987,2,1,experimental_trial,B,5,996,5634,Somewhat incomplete,6506
,,,,,,,,,
kp1987,2,1,experimental_trial,B,6,988,5634,Somewhat incomplete,6506
,,,,,,,,,
kp1987,2,1,experimental_trial,A,0,994,1473,Somewhat incomplete,6610
,,,,,,,,,
kp1987,2,1,experimental_trial,A,1,886,1473,Somewhat incomplete,6610
,,,,,,,,,
kp1987,2,1,experimental_trial,A,2,900,1473,Somewhat incomplete,6610
,,,,,,,,,
kp1987,2,1,experimental_trial,A,3,884,1473,Somewhat incomplete,6610
,,,,,,,,,
kp1987,2,1,experimental_trial,A,4,928,1473,Somewhat incomplete,6610
,,,,,,,,,
kp1987,2,1,experimental_trial,A,5,1012,1473,Somewhat incomplete,6610
,,,,,,,,,
kp1987,2,1,experimental_trial,A,6,1006,1473,Somewhat incomplete,6610
,,,,,,,,,
kp1987,2,1,experimental_trial,B,0,812,5524,Somewhat complete,5575
,,,,,,,,,
kp1987,2,1,experimental_trial,B,1,761,5524,Somewhat complete,5575
,,,,,,,,,
kp1987,2,1,experimental_trial,B,2,714,5524,Somewhat complete,5575
,,,,,,,,,
kp1987,2,1,experimental_trial,B,3,738,5524,Somewhat complete,5575
,,,,,,,,,
kp1987,2,1,experimental_trial,B,4,859,5524,Somewhat complete,5575
,,,,,,,,,
kp1987,2,1,experimental_trial,B,5,864,5524,Somewhat complete,5575
,,,,,,,,,
kp1987,2,1,experimental_trial,B,6,827,5524,Somewhat complete,5575
,,,,,,,,,
kp1987,2,1,experimental_trial,B,0,1019,4475,Somewhat complete,6857
,,,,,,,,,
kp1987,2,1,experimental_trial,B,1,950,4475,Somewhat complete,6857
,,,,,,,,,
kp1987,2,1,experimental_trial,B,2,949,4475,Somewhat complete,6857
,,,,,,,,,
kp1987,2,1,experimental_trial,B,3,959,4475,Somewhat complete,6857
,,,,,,,,,
kp1987,2,1,experimental_trial,B,4,934,4475,Somewhat complete,6857
,,,,,,,,,
kp1987,2,1,experimental_trial,B,5,1006,4475,Somewhat complete,6857
,,,,,,,,,
kp1987,2,1,experimental_trial,B,6,1040,4475,Somewhat complete,6857
,,,,,,,,,
kp1987,2,1,filler,2,0,1154,3499,Somewhat complete,7011
,,,,,,,,,
kp1987,2,1,filler,2,1,954,3499,Somewhat complete,7011
,,,,,,,,,
kp1987,2,1,filler,2,2,1006,3499,Somewhat complete,7011
,,,,,,,,,
kp1987,2,1,filler,2,3,963,3499,Somewhat complete,7011
,,,,,,,,,
kp1987,2,1,filler,2,4,965,3499,Somewhat complete,7011
,,,,,,,,,
kp1987,2,1,filler,2,5,982,3499,Somewhat complete,7011
,,,,,,,,,
kp1987,2,1,filler,2,6,987,3499,Somewhat complete,7011
,,,,,,,,,
kp1987,2,1,experimental_trial,A,0,952,3706,Somewhat incomplete,6425
,,,,,,,,,
kp1987,2,1,experimental_trial,A,1,858,3706,Somewhat incomplete,6425
,,,,,,,,,
kp1987,2,1,experimental_trial,A,2,860,3706,Somewhat incomplete,6425
,,,,,,,,,
kp1987,2,1,experimental_trial,A,3,926,3706,Somewhat incomplete,6425
,,,,,,,,,
kp1987,2,1,experimental_trial,A,4,869,3706,Somewhat incomplete,6425
,,,,,,,,,
kp1987,2,1,experimental_trial,A,5,903,3706,Somewhat incomplete,6425
,,,,,,,,,
kp1987,2,1,experimental_trial,A,6,1057,3706,Somewhat incomplete,6425
,,,,,,,,,
kp1987,2,1,experimental_trial,A,0,862,1187,Somewhat incomplete,6377
,,,,,,,,,
kp1987,2,1,experimental_trial,A,1,801,1187,Somewhat incomplete,6377
,,,,,,,,,
kp1987,2,1,experimental_trial,A,2,924,1187,Somewhat incomplete,6377
,,,,,,,,,
kp1987,2,1,experimental_trial,A,3,894,1187,Somewhat incomplete,6377
,,,,,,,,,
kp1987,2,1,experimental_trial,A,4,910,1187,Somewhat incomplete,6377
,,,,,,,,,
kp1987,2,1,experimental_trial,A,5,939,1187,Somewhat incomplete,6377
,,,,,,,,,
kp1987,2,1,experimental_trial,A,6,1047,1187,Somewhat incomplete,6377
,,,,,,,,,
kp1987,2,1,experimental_trial,A,0,826,1634,Somewhat incomplete,5798
,,,,,,,,,
kp1987,2,1,experimental_trial,A,1,834,1634,Somewhat incomplete,5798
,,,,,,,,,
kp1987,2,1,experimental_trial,A,2,789,1634,Somewhat incomplete,5798
,,,,,,,,,
kp1987,2,1,experimental_trial,A,3,772,1634,Somewhat incomplete,5798
,,,,,,,,,
kp1987,2,1,experimental_trial,A,4,853,1634,Somewhat incomplete,5798
,,,,,,,,,
kp1987,2,1,experimental_trial,A,5,850,1634,Somewhat incomplete,5798
,,,,,,,,,
kp1987,2,1,experimental_trial,A,6,874,1634,Somewhat incomplete,5798
,,,,,,,,,
kp1987,2,1,experimental_trial,A,0,795,1984,Somewhat incomplete,5852
,,,,,,,,,
kp1987,2,1,experimental_trial,A,1,807,1984,Somewhat incomplete,5852
,,,,,,,,,
kp1987,2,1,experimental_trial,A,2,841,1984,Somewhat incomplete,5852
,,,,,,,,,
kp1987,2,1,experimental_trial,A,3,783,1984,Somewhat incomplete,5852
,,,,,,,,,
kp1987,2,1,experimental_trial,A,4,753,1984,Somewhat incomplete,5852
,,,,,,,,,
kp1987,2,1,experimental_trial,A,5,728,1984,Somewhat incomplete,5852
,,,,,,,,,
kp1987,2,1,experimental_trial,A,6,1145,1984,Somewhat incomplete,5852
,,,,,,,,,
kp1987,2,1,filler,1,0,808,2861,Totally incomplete,5645
,,,,,,,,,
kp1987,2,1,filler,1,1,739,2861,Totally incomplete,5645
,,,,,,,,,
kp1987,2,1,filler,1,2,783,2861,Totally incomplete,5645
,,,,,,,,,
kp1987,2,1,filler,1,3,769,2861,Totally incomplete,5645
,,,,,,,,,
kp1987,2,1,filler,1,4,806,2861,Totally incomplete,5645
,,,,,,,,,
kp1987,2,1,filler,1,5,884,2861,Totally incomplete,5645
,,,,,,,,,
kp1987,2,1,filler,1,6,856,2861,Totally incomplete,5645
,,,,,,,,,
ec1982,2,1,experimental_trial,A,0,4497,8204,Somewhat incomplete,19030
,,,,,,,,,
ec1982,2,1,experimental_trial,A,1,2555,8204,Somewhat incomplete,19030
,,,,,,,,,
ec1982,2,1,experimental_trial,A,2,2739,8204,Somewhat incomplete,19030
,,,,,,,,,
ec1982,2,1,experimental_trial,A,3,2621,8204,Somewhat incomplete,19030
,,,,,,,,,
ec1982,2,1,experimental_trial,A,4,2305,8204,Somewhat incomplete,19030
,,,,,,,,,
ec1982,2,1,experimental_trial,A,5,2184,8204,Somewhat incomplete,19030
,,,,,,,,,
ec1982,2,1,experimental_trial,A,6,2129,8204,Somewhat incomplete,19030
,,,,,,,,,
ec1982,2,1,experimental_trial,A,0,1398,3235,Somewhat complete,9773
,,,,,,,,,
ec1982,2,1,experimental_trial,A,1,1430,3235,Somewhat complete,9773
,,,,,,,,,
ec1982,2,1,experimental_trial,A,2,1368,3235,Somewhat complete,9773
,,,,,,,,,
ec1982,2,1,experimental_trial,A,3,1438,3235,Somewhat complete,9773
,,,,,,,,,
ec1982,2,1,experimental_trial,A,4,1355,3235,Somewhat complete,9773
,,,,,,,,,
ec1982,2,1,experimental_trial,A,5,1372,3235,Somewhat complete,9773
,,,,,,,,,
ec1982,2,1,experimental_trial,A,6,1412,3235,Somewhat complete,9773
,,,,,,,,,
ec1982,2,1,experimental_trial,C,0,1278,3485,Somewhat incomplete,9012
,,,,,,,,,
ec1982,2,1,experimental_trial,C,1,1291,3485,Somewhat incomplete,9012
,,,,,,,,,
ec1982,2,1,experimental_trial,C,2,1306,3485,Somewhat incomplete,9012
,,,,,,,,,
ec1982,2,1,experimental_trial,C,3,1314,3485,Somewhat incomplete,9012
,,,,,,,,,
ec1982,2,1,experimental_trial,C,4,1263,3485,Somewhat incomplete,9012
,,,,,,,,,
ec1982,2,1,experimental_trial,C,5,1295,3485,Somewhat incomplete,9012
,,,,,,,,,
ec1982,2,1,experimental_trial,C,6,1265,3485,Somewhat incomplete,9012
,,,,,,,,,
ec1982,2,1,experimental_trial,C,0,1241,2986,Somewhat complete,8765
,,,,,,,,,
ec1982,2,1,experimental_trial,C,1,1221,2986,Somewhat complete,8765
,,,,,,,,,
ec1982,2,1,experimental_trial,C,2,1295,2986,Somewhat complete,8765
,,,,,,,,,
ec1982,2,1,experimental_trial,C,3,1282,2986,Somewhat complete,8765
,,,,,,,,,
ec1982,2,1,experimental_trial,C,4,1269,2986,Somewhat complete,8765
,,,,,,,,,
ec1982,2,1,experimental_trial,C,5,1198,2986,Somewhat complete,8765
,,,,,,,,,
ec1982,2,1,experimental_trial,C,6,1259,2986,Somewhat complete,8765
,,,,,,,,,
ec1982,2,1,experimental_trial,B,0,1232,7365,Somewhat incomplete,8541
,,,,,,,,,
ec1982,2,1,experimental_trial,B,1,1211,7365,Somewhat incomplete,8541
,,,,,,,,,
ec1982,2,1,experimental_trial,B,2,1286,7365,Somewhat incomplete,8541
,,,,,,,,,
ec1982,2,1,experimental_trial,B,3,1206,7365,Somewhat incomplete,8541
,,,,,,,,,
ec1982,2,1,experimental_trial,B,4,1213,7365,Somewhat incomplete,8541
,,,,,,,,,
ec1982,2,1,experimental_trial,B,5,1196,7365,Somewhat incomplete,8541
,,,,,,,,,
ec1982,2,1,experimental_trial,B,6,1197,7365,Somewhat incomplete,8541
,,,,,,,,,
ec1982,2,1,experimental_trial,C,0,1115,4068,Somewhat complete,8296
,,,,,,,,,
ec1982,2,1,experimental_trial,C,1,1241,4068,Somewhat complete,8296
,,,,,,,,,
ec1982,2,1,experimental_trial,C,2,1181,4068,Somewhat complete,8296
,,,,,,,,,
ec1982,2,1,experimental_trial,C,3,1170,4068,Somewhat complete,8296
,,,,,,,,,
ec1982,2,1,experimental_trial,C,4,1205,4068,Somewhat complete,8296
,,,,,,,,,
ec1982,2,1,experimental_trial,C,5,1212,4068,Somewhat complete,8296
,,,,,,,,,
ec1982,2,1,experimental_trial,C,6,1172,4068,Somewhat complete,8296
,,,,,,,,,
ec1982,2,1,experimental_trial,B,0,1194,5745,Somewhat incomplete,7849
,,,,,,,,,
ec1982,2,1,experimental_trial,B,1,1095,5745,Somewhat incomplete,7849
,,,,,,,,,
ec1982,2,1,experimental_trial,B,2,1141,5745,Somewhat incomplete,7849
,,,,,,,,,
ec1982,2,1,experimental_trial,B,3,1178,5745,Somewhat incomplete,7849
,,,,,,,,,
ec1982,2,1,experimental_trial,B,4,1073,5745,Somewhat incomplete,7849
,,,,,,,,,
ec1982,2,1,experimental_trial,B,5,1092,5745,Somewhat incomplete,7849
,,,,,,,,,
ec1982,2,1,experimental_trial,B,6,1076,5745,Somewhat incomplete,7849
,,,,,,,,,
ec1982,2,1,experimental_trial,C,0,1098,4230,Totally incomplete,7762
,,,,,,,,,
ec1982,2,1,experimental_trial,C,1,1141,4230,Totally incomplete,7762
,,,,,,,,,
ec1982,2,1,experimental_trial,C,2,1176,4230,Totally incomplete,7762
,,,,,,,,,
ec1982,2,1,experimental_trial,C,3,1132,4230,Totally incomplete,7762
,,,,,,,,,
ec1982,2,1,experimental_trial,C,4,1125,4230,Totally incomplete,7762
,,,,,,,,,
ec1982,2,1,experimental_trial,C,5,1110,4230,Totally incomplete,7762
,,,,,,,,,
ec1982,2,1,experimental_trial,C,6,980,4230,Totally incomplete,7762
,,,,,,,,,
ec1982,2,1,filler,1,0,1108,2984,Totally incomplete,7731
,,,,,,,,,
ec1982,2,1,filler,1,1,1090,2984,Totally incomplete,7731
,,,,,,,,,
ec1982,2,1,filler,1,2,1108,2984,Totally incomplete,7731
,,,,,,,,,
ec1982,2,1,filler,1,3,1132,2984,Totally incomplete,7731
,,,,,,,,,
ec1982,2,1,filler,1,4,1112,2984,Totally incomplete,7731
,,,,,,,,,
ec1982,2,1,filler,1,5,1089,2984,Totally incomplete,7731
,,,,,,,,,
ec1982,2,1,filler,1,6,1092,2984,Totally incomplete,7731
,,,,,,,,,
ec1982,2,1,experimental_trial,A,0,1097,1485,Somewhat complete,7687
,,,,,,,,,
ec1982,2,1,experimental_trial,A,1,1089,1485,Somewhat complete,7687
,,,,,,,,,
ec1982,2,1,experimental_trial,A,2,1088,1485,Somewhat complete,7687
,,,,,,,,,
ec1982,2,1,experimental_trial,A,3,1093,1485,Somewhat complete,7687
,,,,,,,,,
ec1982,2,1,experimental_trial,A,4,1166,1485,Somewhat complete,7687
,,,,,,,,,
ec1982,2,1,experimental_trial,A,5,1129,1485,Somewhat complete,7687
,,,,,,,,,
ec1982,2,1,experimental_trial,A,6,1025,1485,Somewhat complete,7687
,,,,,,,,,
ec1982,2,1,experimental_trial,B,0,1058,4749,Somewhat complete,7192
,,,,,,,,,
ec1982,2,1,experimental_trial,B,1,1035,4749,Somewhat complete,7192
,,,,,,,,,
ec1982,2,1,experimental_trial,B,2,1086,4749,Somewhat complete,7192
,,,,,,,,,
ec1982,2,1,experimental_trial,B,3,1067,4749,Somewhat complete,7192
,,,,,,,,,
ec1982,2,1,experimental_trial,B,4,857,4749,Somewhat complete,7192
,,,,,,,,,
ec1982,2,1,experimental_trial,B,5,1122,4749,Somewhat complete,7192
,,,,,,,,,
ec1982,2,1,experimental_trial,B,6,967,4749,Somewhat complete,7192
,,,,,,,,,
ec1982,2,1,filler,3,0,1010,2659,Somewhat incomplete,7396
,,,,,,,,,
ec1982,2,1,filler,3,1,1035,2659,Somewhat incomplete,7396
,,,,,,,,,
ec1982,2,1,filler,3,2,1048,2659,Somewhat incomplete,7396
,,,,,,,,,
ec1982,2,1,filler,3,3,1077,2659,Somewhat incomplete,7396
,,,,,,,,,
ec1982,2,1,filler,3,4,1098,2659,Somewhat incomplete,7396
,,,,,,,,,
ec1982,2,1,filler,3,5,1093,2659,Somewhat incomplete,7396
,,,,,,,,,
ec1982,2,1,filler,3,6,1035,2659,Somewhat incomplete,7396
,,,,,,,,,
ec1982,2,1,experimental_trial,A,0,1077,2469,Somewhat complete,7321
,,,,,,,,,
ec1982,2,1,experimental_trial,A,1,1028,2469,Somewhat complete,7321
,,,,,,,,,
ec1982,2,1,experimental_trial,A,2,1046,2469,Somewhat complete,7321
,,,,,,,,,
ec1982,2,1,experimental_trial,A,3,1070,2469,Somewhat complete,7321
,,,,,,,,,
ec1982,2,1,experimental_trial,A,4,1015,2469,Somewhat complete,7321
,,,,,,,,,
ec1982,2,1,experimental_trial,A,5,1080,2469,Somewhat complete,7321
,,,,,,,,,
ec1982,2,1,experimental_trial,A,6,1005,2469,Somewhat complete,7321
,,,,,,,,,
ec1982,2,1,filler,2,0,1072,2331,Totally incomplete,7356
,,,,,,,,,
ec1982,2,1,filler,2,1,950,2331,Totally incomplete,7356
,,,,,,,,,
ec1982,2,1,filler,2,2,1019,2331,Totally incomplete,7356
,,,,,,,,,
ec1982,2,1,filler,2,3,1037,2331,Totally incomplete,7356
,,,,,,,,,
ec1982,2,1,filler,2,4,1082,2331,Totally incomplete,7356
,,,,,,,,,
ec1982,2,1,filler,2,5,1053,2331,Totally incomplete,7356
,,,,,,,,,
ec1982,2,1,filler,2,6,1143,2331,Totally incomplete,7356
,,,,,,,,,
ec1982,2,1,filler,2,0,1097,1537,Totally incomplete,7546
,,,,,,,,,
ec1982,2,1,filler,2,1,1082,1537,Totally incomplete,7546
,,,,,,,,,
ec1982,2,1,filler,2,2,1025,1537,Totally incomplete,7546
,,,,,,,,,
ec1982,2,1,filler,2,3,1072,1537,Totally incomplete,7546
,,,,,,,,,
ec1982,2,1,filler,2,4,1045,1537,Totally incomplete,7546
,,,,,,,,,
ec1982,2,1,filler,2,5,1076,1537,Totally incomplete,7546
,,,,,,,,,
ec1982,2,1,filler,2,6,1149,1537,Totally incomplete,7546
,,,,,,,,,
ec1982,2,1,experimental_trial,B,0,1090,5202,Somewhat complete,7244
,,,,,,,,,
ec1982,2,1,experimental_trial,B,1,1017,5202,Somewhat complete,7244
,,,,,,,,,
ec1982,2,1,experimental_trial,B,2,1033,5202,Somewhat complete,7244
,,,,,,,,,
ec1982,2,1,experimental_trial,B,3,1004,5202,Somewhat complete,7244
,,,,,,,,,
ec1982,2,1,experimental_trial,B,4,1035,5202,Somewhat complete,7244
,,,,,,,,,
ec1982,2,1,experimental_trial,B,5,1075,5202,Somewhat complete,7244
,,,,,,,,,
ec1982,2,1,experimental_trial,B,6,990,5202,Somewhat complete,7244
,,,,,,,,,
ec1982,2,1,experimental_trial,A,0,1066,6375,Somewhat complete,7337
,,,,,,,,,
ec1982,2,1,experimental_trial,A,1,1055,6375,Somewhat complete,7337
,,,,,,,,,
ec1982,2,1,experimental_trial,A,2,1071,6375,Somewhat complete,7337
,,,,,,,,,
ec1982,2,1,experimental_trial,A,3,1020,6375,Somewhat complete,7337
